dataset,representation_dim,batch_size,vocab_size,message_length,message_length_tt,num_pretrain_epochs,num_dialogue_epochs,baseline,learning_rate_phase1,learning_rate_phase2_a,learning_rate_phase2_b,agent_a_training_mode,dataset_tt,test_time_mode,num_iterations,learning_rate_tt,sampling_temperature_tt,best_of_n,number_of_candidates,num_test_classes,commitment_weight,sampling_temperature,freeze_codebook,decay,entropy_regularization_factor,contrastive_loss_temperature,sim,pretrained_checkpoint_a,pretrained_checkpoint_b,dialogued_checkpoint,seed
mnist1,192,32,10,[3 4],4,50,50,False,1e-4,1e-4,1e-4,frozen,mnist2,batch_adaptation,200,1e-5,1e-2,10,100,50,0.25,1e-5,True,0.99,0,0.01,cosine,20251223_1750_bs32_vocab10_repr192_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed1,None,pretrained_checkpoint_a,1
mnist1,192,32,10,[3 4],4,50,50,False,1e-4,1e-4,1e-4,frozen,mnist2,batch_adaptation,200,1e-5,1e-2,10,100,50,0.25,1e-5,True,0.99,0,0.01,cosine,20251228_1548_bs32_vocab10_repr192_msg_len10_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed2,None,pretrained_checkpoint_a,2
mnist1,192,32,10,[3 4],4,50,50,False,1e-4,1e-4,1e-4,frozen,mnist2,batch_adaptation,200,1e-5,1e-2,10,100,50,0.25,1e-5,True,0.99,0,0.01,cosine,20251228_1637_bs32_vocab10_repr192_msg_len10_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1e-05_ent0_cand100_contr0.01_seed3,None,pretrained_checkpoint_a,3


imagenet,2048,32,10,[2 3 4],4,50,50,False,1e-4,1e-4,1e-4,frozen,imagenet_same_class,batch_adaptation,200,1e-4,1e-2,10,32,50,0.25,1e-5,True,0.99,0,0.01,cosine,20251231_2027_bs32_vocab10_repr2048_msg_len4_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1e-05_ent0_cand32_contr0.01_seed1,None,pretrained_checkpoint_a,1
imagenet,2048,32,10,[2 3 4],4,50,50,False,1e-4,1e-4,1e-4,frozen,imagenet_same_class,batch_adaptation,200,1e-4,1e-2,10,32,50,0.25,1e-5,True,0.99,0,0.01,cosine,20251231_2046_bs32_vocab10_repr2048_msg_len4_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1e-05_ent0_cand32_contr0.01_seed2,None,pretrained_checkpoint_a,2
imagenet,2048,32,10,[2 3 4],4,50,50,False,1e-4,1e-4,1e-4,frozen,imagenet_same_class,batch_adaptation,200,1e-4,1e-2,10,32,50,0.25,1e-5,True,0.99,0,0.01,cosine,20260101_1131_bs32_vocab10_repr2048_msg_len4_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1e-05_ent0_cand32_contr0.01_seed3,None,pretrained_checkpoint_a,3


shape_unique_atleast_one_attribute,1024,1,10,[3 4],4,50,50,False,1e-4,1e-4,1e-4,frozen,shape_unique_double_attribute,batch_adaptation,200,1e-5,1e-2,10,1,50,0.25,1e-5,True,0.99,0,0.01,cosine,20251226_1853_bs1_vocab10_repr1024_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1e-05_ent0_cand1_contr0.01_seed1,None,pretrained_checkpoint_a,1
shape_unique_atleast_one_attribute,1024,1,10,[3 4],4,50,50,False,1e-4,1e-4,1e-4,frozen,shape_unique_double_attribute,batch_adaptation,200,1e-5,1e-2,10,1,50,0.25,1e-5,True,0.99,0,0.01,cosine,20251228_1757_bs1_vocab10_repr1024_msg_len2_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1e-05_ent0_cand1_contr0.01_seed2,None,pretrained_checkpoint_a,2
shape_unique_atleast_one_attribute,1024,1,10,[3 4],4,50,50,False,1e-4,1e-4,1e-4,frozen,shape_unique_double_attribute,batch_adaptation,200,1e-5,1e-2,10,1,50,0.25,1e-5,True,0.99,0,0.01,cosine,20251228_1818_bs1_vocab10_repr1024_msg_len2_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1e-05_ent0_cand1_contr0.01_seed3,None,pretrained_checkpoint_a,3




----baseline---
shape1,1024,32,10,[3 4],4,50,100,True,1e-4,1e-4,1e-4,frozen,shape2,batch_adaptation,0,1e-5,1e-2,10,100,50,0.25,1,True,0.99,0,0.01,cosine,None,None,20251230_1445_bs32_vocab10_repr1024_msg_len4_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1_ent0_cand100_contr0.01_seed1,1
shape1,1024,32,10,[3 4],4,50,100,True,1e-4,1e-4,1e-4,frozen,shape2,batch_adaptation,0,1e-5,1e-2,10,100,50,0.25,1,True,0.99,0,0.01,cosine,None,None,20251230_1503_bs32_vocab10_repr1024_msg_len4_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1_ent0_cand100_contr0.01_seed2,2
shape1,1024,32,10,[3 4],4,50,100,True,1e-4,1e-4,1e-4,frozen,shape2,batch_adaptation,0,1e-5,1e-2,10,100,50,0.25,1,True,0.99,0,0.01,cosine,None,None,20251230_1518_bs32_vocab10_repr1024_msg_len4_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1_ent0_cand100_contr0.01_seed3,3

shape12,1024,32,10,[3 4],4,50,100,True,1e-4,1e-4,1e-4,frozen,shape3,batch_adaptation,0,1e-5,1e-2,10,100,50,0.25,1,True,0.99,0,0.01,cosine,None,None,20251230_1916_bs32_vocab10_repr1024_msg_len4_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1_ent0_cand100_contr0.01_seed1,1
shape12,1024,32,10,[3 4],4,50,100,True,1e-4,1e-4,1e-4,frozen,shape3,batch_adaptation,0,1e-5,1e-2,10,100,50,0.25,1,True,0.99,0,0.01,cosine,None,None,20251230_1932_bs32_vocab10_repr1024_msg_len4_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1_ent0_cand100_contr0.01_seed2,2
shape12,1024,32,10,[3 4],4,50,100,True,1e-4,1e-4,1e-4,frozen,shape3,batch_adaptation,0,1e-5,1e-2,10,100,50,0.25,1,True,0.99,0,0.01,cosine,None,None,20251230_1947_bs32_vocab10_repr1024_msg_len4_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1_ent0_cand100_contr0.01_seed3,3

mnist1,192,32,10,[3 4],4,50,100,True,1e-4,1e-4,1e-4,frozen,mnist2,batch_adaptation,0,1e-5,1e-2,10,100,50,0.25,1,True,0.99,0,0.01,cosine,None,None,20251230_1620_bs32_vocab10_repr192_msg_len4_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1_ent0_cand100_contr0.01_seed1,1
mnist1,192,32,10,[3 4],4,50,100,True,1e-4,1e-4,1e-4,frozen,mnist2,batch_adaptation,0,1e-5,1e-2,10,100,50,0.25,1,True,0.99,0,0.01,cosine,None,None,20251230_1705_bs32_vocab10_repr192_msg_len4_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1_ent0_cand100_contr0.01_seed2,2
mnist1,192,32,10,[3 4],4,50,100,True,1e-4,1e-4,1e-4,frozen,mnist2,batch_adaptation,0,1e-5,1e-2,10,100,50,0.25,1,True,0.99,0,0.01,cosine,None,None,20251230_1750_bs32_vocab10_repr192_msg_len4_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1_ent0_cand100_contr0.01_seed3,3

imagenet,2048,32,10,[2 3 4],4,50,50,True,1e-4,1e-4,1e-4,frozen,imagenet_same_class,batch_adaptation,200,1e-4,1e-2,10,32,50,0.25,1,True,0.99,0,0.01,cosine,None,None,20251231_1826_bs32_vocab10_repr2048_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1_ent0_cand32_contr0.01_seed1,1
imagenet,2048,32,10,[2 3 4],4,50,50,True,1e-4,1e-4,1e-4,frozen,imagenet_same_class,batch_adaptation,200,1e-4,1e-2,10,32,50,0.25,1,True,0.99,0,0.01,cosine,None,None,20251231_1934_bs32_vocab10_repr2048_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1_ent0_cand32_contr0.01_seed2,2
imagenet,2048,32,10,[2 3 4],4,50,50,True,1e-4,1e-4,1e-4,frozen,imagenet_same_class,batch_adaptation,200,1e-4,1e-2,10,32,50,0.25,1,True,0.99,0,0.01,cosine,None,None,20251231_1958_bs32_vocab10_repr2048_msg_len4_lr1_1e-05_lr2a_1e-05_lr2b_1e-05_decay0.99_modefrozen_temp1_ent0_cand32_contr0.01_seed3,3

shape_unique_atleast_one_attribute,1024,1,10,[3 4],4,50,50,True,1e-4,1e-4,1e-4,frozen,shape_unique_double_attribute,batch_adaptation,0,1e-5,1e-2,10,1,50,0.25,1,True,0.99,0,0.01,cosine,None,None,20251230_2218_bs1_vocab10_repr1024_msg_len4_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1_ent0_cand1_contr0.01_seed1,1
shape_unique_atleast_one_attribute,1024,1,10,[3 4],4,50,50,True,1e-4,1e-4,1e-4,frozen,shape_unique_double_attribute,batch_adaptation,0,1e-5,1e-2,10,1,50,0.25,1,True,0.99,0,0.01,cosine,None,None,20251230_2227_bs1_vocab10_repr1024_msg_len4_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1_ent0_cand1_contr0.01_seed2,2
shape_unique_atleast_one_attribute,1024,1,10,[3 4],4,50,50,True,1e-4,1e-4,1e-4,frozen,shape_unique_double_attribute,batch_adaptation,0,1e-5,1e-2,10,1,50,0.25,1,True,0.99,0,0.01,cosine,None,None,20251230_2237_bs1_vocab10_repr1024_msg_len4_lr1_0.0001_lr2a_0.0001_lr2b_0.0001_decay0.99_modefrozen_temp1_ent0_cand1_contr0.01_seed3,3
